season,zone,LST_C
Winter,Rural,33.47800000000003
Winter,Rural,33.68000000000002
Winter,Rural,33.781000000000034
Winter,Rural,33.63550000000004
Winter,Rural,32.07800000000002
Winter,Rural,31.89250000000003
Winter,Rural,32.49900000000003
Winter,Rural,33.22900000000003
Winter,Rural,33.45350000000003
Winter,Rural,33.48000000000003
Winter,Rural,33.56850000000003
Winter,Rural,34.44200000000002
Winter,Rural,33.902000000000015
Winter,Rural,32.703500000000034
Winter,Rural,31.730500000000017
Winter,Rural,32.408500000000025
Winter,Rural,33.34100000000004
Winter,Rural,34.23500000000003
Winter,Rural,33.68200000000003
Winter,Rural,33.40650000000004
Winter,Rural,33.61100000000003
Winter,Rural,33.77100000000004
Winter,Rural,34.25250000000003
Winter,Rural,34.12850000000004
Winter,Rural,33.38150000000004
Winter,Rural,33.51650000000002
Winter,Rural,33.41850000000003
Winter,Rural,32.563000000000024
Winter,Rural,32.916000000000025
Winter,Rural,34.28950000000002
Winter,Rural,34.794000000000025
Winter,Rural,34.483000000000025
Winter,Rural,34.27400000000002
Winter,Rural,34.48650000000003
Winter,Rural,34.59000000000003
Winter,Rural,34.596500000000034
Winter,Rural,34.550000000000026
Winter,Rural,33.648000000000025
Winter,Rural,33.136500000000034
Winter,Rural,33.33900000000004
Winter,Rural,33.04950000000004
Winter,Rural,32.724000000000025
Winter,Rural,33.79500000000003
Winter,Rural,34.50400000000003
Winter,Rural,34.28900000000003
Winter,Rural,34.67950000000002
Winter,Rural,35.14850000000002
Winter,Rural,35.77800000000002
Winter,Rural,35.60550000000002
Winter,Rural,34.32200000000002
Winter,Rural,33.196000000000026
Winter,Rural,32.75500000000004
Winter,Rural,32.522500000000036
Winter,Rural,33.139500000000034
Winter,Rural,33.11550000000004
Winter,Rural,32.64700000000003
Winter,Rural,32.06850000000003
Winter,Rural,34.28600000000004
Winter,Rural,34.40250000000003
Winter,Rural,35.02650000000001
Winter,Rural,35.437500000000014
Winter,Rural,35.74450000000003
Winter,Rural,36.10500000000003
Winter,Rural,35.72150000000002
Winter,Rural,34.87950000000002
Winter,Rural,34.19200000000002
Winter,Rural,33.76750000000003
Winter,Rural,33.32200000000004
Winter,Rural,32.64550000000003
Winter,Rural,31.858000000000015
Winter,Rural,31.28200000000002
Winter,Rural,31.55850000000003
Winter,Rural,34.13450000000004
Winter,Rural,34.19400000000004
Winter,Rural,34.86500000000002
Winter,Rural,35.61100000000003
Winter,Rural,36.014000000000024
Winter,Rural,36.04500000000003
Winter,Rural,35.87350000000002
Winter,Rural,35.27250000000002
Winter,Rural,34.76600000000002
Winter,Rural,34.83300000000003
Winter,Rural,35.22250000000004
Winter,Rural,35.01500000000003
Winter,Rural,31.11000000000002
Winter,Rural,31.087500000000034
Winter,Rural,32.06450000000004
Winter,Rural,34.26000000000003
Winter,Rural,34.64150000000003
Winter,Rural,35.19100000000002
Winter,Rural,35.60700000000003
Winter,Rural,35.97500000000002
Winter,Rural,35.810000000000024
Winter,Rural,35.320000000000036
Winter,Rural,34.758500000000026
Winter,Rural,34.793000000000035
Winter,Rural,35.47050000000003
Winter,Rural,36.013500000000036
Winter,Rural,36.03450000000002
Winter,Rural,31.623000000000026
Winter,Rural,32.52300000000003
Winter,Rural,32.90550000000004
Winter,Rural,33.51350000000001
Winter,Rural,34.185500000000026
Winter,Rural,34.73700000000004
Winter,Rural,35.470000000000034
Winter,Rural,35.82500000000003
Winter,Rural,35.43800000000003
Winter,Rural,34.65800000000003
Winter,Rural,34.67250000000003
Winter,Rural,35.26650000000002
