mode,zone,T
Day,Urban,35.82700808000004
Day,Urban,33.99153134000005
Day,Urban,37.50867391999998
Day,Urban,37.918836320000025
Day,Urban,36.295276820000026
Day,Urban,33.284001200000034
Day,Urban,34.78451198000005
Day,Urban,36.95153665999999
Day,Urban,38.968168460000015
Day,Urban,34.220538680000004
Day,Urban,35.13656804000004
Day,Urban,36.04234334
Day,Urban,36.954954680000014
Day,Urban,35.11264190000003
Day,Urban,34.64779118000001
Day,Urban,37.81971374
Day,Urban,38.16835178000002
Day,Urban,36.38414534000003
Day,Urban,34.26155491999998
Day,Urban,35.53305836000004
Day,Urban,35.64243499999998
Day,Urban,36.41832554000001
Day,Urban,37.676156900000024
Day,Urban,37.82996780000002
Day,Urban,38.98184054000001
Day,Urban,33.612131120000015
Day,Urban,37.313846780000006
Day,Urban,38.08973732000004
Day,Urban,36.43883366
Day,Urban,34.64437315999999
Day,Urban,36.01158115999999
Day,Urban,33.44123012
Day,Urban,35.13998606000001
Day,Urban,36.24058850000006
Day,Urban,34.11116204000001
Day,Urban,35.153658140000005
Day,Urban,35.92954868000004
Day,Urban,35.72104946000002
Day,Urban,34.17268640000003
Day,Urban,34.09407194000005
Day,Urban,37.09509350000002
Day,Urban,38.76308726000002
Day,Urban,38.02821296000002
Day,Urban,38.479391599999985
Day,Urban,37.28992063999999
Day,Urban,37.52918204000002
Day,Urban,40.90276777999998
Day,Urban,39.870525740000005
Day,Urban,36.79430774000002
Day,Urban,34.463218100000006
Day,Urban,35.24252666000001
Day,Urban,35.45102588000003
Day,Urban,38.93398825999998
Day,Urban,38.07948326000002
Day,Urban,37.33777292000002
Day,Urban,39.07754510000001
Day,Urban,34.64437315999999
Day,Urban,32.89434692000003
Day,Urban,33.08233802000001
Day,Urban,35.03060942000002
Day,Urban,33.47199230000001
Day,Urban,33.99153134000005
Day,Urban,35.34164924000004
Day,Urban,34.99642921999998
Day,Urban,34.26839096000003
Day,Urban,33.60187705999999
Day,Urban,36.14488394
Day,Urban,34.022293520000005
Day,Urban,34.87679852000002
Day,Urban,36.91393844000004
Day,Urban,39.70646078000004
Day,Urban,40.78655509999999
Day,Urban,37.72400918000005
Day,Urban,38.739161120000006
Day,Urban,38.52382585999999
Day,Urban,39.460363340000015
Day,Urban,35.888532440000006
Day,Urban,35.53989439999998
Day,Urban,37.55652620000001
Day,Urban,35.56723856000002
Day,Urban,35.659525099999996
Day,Urban,36.397817420000024
Day,Urban,42.71090035999998
Day,Urban,39.12539737999998
Day,Urban,37.477911740000025
Day,Urban,34.81185614000003
Day,Urban,42.338336180000056
Day,Urban,39.38516690000006
Day,Urban,38.07264722000002
Day,Urban,38.35292486000003
Day,Urban,38.510153779999996
Day,Urban,31.797162500000013
Day,Urban,33.11310020000002
Day,Urban,35.02377338000002
Day,Urban,33.22247684000001
Day,Urban,32.908019000000024
Day,Urban,32.54570888000001
Day,Urban,32.911437019999994
Day,Urban,32.84649464000006
Day,Urban,34.186358480000024
Day,Urban,34.09407194000005
Day,Urban,34.42561988
Day,Urban,36.67809506000003
Day,Urban,36.69518516000005
Day,Urban,38.462301500000024
Day,Urban,35.885114420000036
Day,Urban,37.72400918000005
Day,Urban,35.32455914000002
Day,Urban,38.67763676000004
Day,Urban,39.4364372
Day,Urban,37.13952776000002
Day,Urban,39.99357445999999
